QUẬN HUYỆN,DIỆN TÍCH - M2,HƯỚNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ,GIÁ - TRIỆU ĐỒNG
Quận Thủ Đức,50,Bắc,2,1,,1300
Quận Tân Phú,47,,1,1,Đang chờ sổ,1250
Quận 9,81,,3,2,Đang chờ sổ,2030
Quận 9,69,,2,2,Đang chờ sổ,2450
Quận Gò Vấp,69.3,,2,2,,4000
Quận Bình Tân,48,,1,1,Đã có sổ,950
Quận 7,77,,2,2,Đã có sổ,5200
Quận 5,79,,2,2,Đã có sổ,2740
Quận Bình Thạnh,54,Nam,2,1,Đã có sổ,2750
Quận 12,57,,2,1,Đang chờ sổ,600
Quận 9,58,,2,2,,1400
Quận Tân Phú,50,Đông Nam,2,1,Đã có sổ,2350
Quận Thủ Đức,70,Tây Nam,2,2,Đang chờ sổ,2150
Quận 2,59,Đông,2,2,Đang chờ sổ,1900
Huyện Bình Chánh,59,,2,2,Đang chờ sổ,2300
Huyện Bình Chánh,72,Nam,2,2,Đã có sổ,1700
Huyện Nhà Bè,97,Đông,2,2,Đã có sổ,2350
Quận Thủ Đức,55.62,Đông Bắc,2,1,Giấy tờ khác,1800
Quận Bình Tân,37,,1,1,Giấy tờ khác,760
Quận Thủ Đức,57,Đông Nam,2,2,,1650
Quận 9,47,,1,1,,1700
Quận Tân Phú,65,,2,2,,2700
Quận 2,32,Tây Nam,1,1,Đã có sổ,1550
Quận 6,65,,2,2,Đã có sổ,2000
Quận 7,67,,2,2,Đang chờ sổ,1500
Quận 7,89,,3,2,Đang chờ sổ,2650
Quận Gò Vấp,124,,2,,,3500
Quận 10,53,,1,1,Đã có sổ,3500
Quận 2,76,Tây Bắc,2,2,,4000
Quận 9,108,,2,2,Đang chờ sổ,4100
Quận 8,70,,2,1,,3300
Quận 9,59,Tây Nam,2,1,Đang chờ sổ,2200
Quận Tân Phú,94,Nam,3,2,Đã có sổ,2650
Quận 6,65,Nam,2,2,Đang chờ sổ,2350
Quận 8,150,,3,3,Đã có sổ,4000
Quận Bình Thạnh,100,,3,2,Giấy tờ khác,7000
Quận 10,41,Nam,2,1,Đã có sổ,3500
Quận 2,64,Đông Bắc,1,1,Đã có sổ,7500
Quận Bình Thạnh,87,,2,2,Đã có sổ,3500
Quận Tân Phú,48,Đông Nam,2,1,Đã có sổ,1550
Quận 7,14,Tây,1,2,Đã có sổ,1750
Quận Thủ Đức,60,,2,2,Đang chờ sổ,260
Quận 10,219,,3,4,,13500
Quận 9,62,Đông Nam,2,2,Đã có sổ,2750
Quận Bình Thạnh,64,Đông Nam,3,1,,2300
Quận 2,75,,2,2,,3999.999
Quận 2,120,,3,2,Đã có sổ,4000
Quận Bình Thạnh,67,Tây Bắc,2,2,Đang chờ sổ,3480
Quận Bình Thạnh,55,Tây,1,1,Đã có sổ,2350
Quận Tân Phú,52,Đông Nam,2,1,Đã có sổ,1280
Quận 2,51,Đông Bắc,1,1,Đã có sổ,2550
Quận 4,65,,2,2,Đang chờ sổ,4400
Quận Bình Thạnh,81,Đông Nam,2,2,Đã có sổ,5600
Quận 9,69,,2,2,Đang chờ sổ,2450
Quận 12,81,,3,2,Giấy tờ khác,2439
Quận 4,32.5,,1,1,Đang chờ sổ,2100
Quận 12,57.64,,2,1,Giấy tờ khác,2300
Quận 12,79.7,Tây,3,2,Giấy tờ khác,2830
Quận 9,59,Tây Nam,2,1,,1300
Quận Thủ Đức,62,,2,2,,1820
Quận 7,147,,3,2,Đang chờ sổ,8300
Quận 6,50,,1,1,Giấy tờ khác,3600
Quận 7,60,,2,2,,2750
Quận Thủ Đức,38.1,Tây Bắc,1,1,Đã có sổ,1275
Quận 7,65,,2,2,Đã có sổ,3600
Quận Thủ Đức,65,Đông Nam,4,3,Đã có sổ,1300
Quận Bình Thạnh,79,Đông Bắc,2,2,Đã có sổ,5800
Quận 8,115,,2,2,Đã có sổ,3400
Quận 8,87,,3,2,Đang chờ sổ,4300
Quận 8,51,,1,1,Đang chờ sổ,2400
Quận Thủ Đức,47,Đông Nam,2,2,Giấy tờ khác,1100
Quận 8,82,,2,2,Đang chờ sổ,2550
Quận 8,115,Tây,2,2,Đã có sổ,3200
Quận 1,90,,3,2,Đã có sổ,4260
Quận Tân Phú,65,,2,2,,2800
Quận 2,56,,1,1,,2450
Quận 8,68,,2,2,,2200
Quận 9,59,Tây,2,1,Đang chờ sổ,2150
Quận Bình Tân,75,,2,2,Đang chờ sổ,2500
Quận 9,62.38,,2,2,Giấy tờ khác,1430
Quận 2,68,,2,2,Đã có sổ,4150
Quận 8,50,,2,2,Đã có sổ,1500
Quận 4,55,Tây Nam,1,1,Đang chờ sổ,3300
Quận 12,58,Đông Nam,2,2,Đã có sổ,1650
Quận Tân Phú,60,Đông,2,1,Đang chờ sổ,3700
Quận 8,73,Đông,2,2,,1980
Quận 2,105,,3,2,Đang chờ sổ,5300
Huyện Bình Chánh,54,,2,,Giấy tờ khác,1838
Quận Thủ Đức,37,Tây Bắc,1,1,Đã có sổ,1290
Huyện Nhà Bè,129,,3,2,Đã có sổ,2900
Quận Bình Tân,75,,2,2,,2500
Quận Bình Tân,56,,2,,Đang chờ sổ,2000
Quận 4,115,Đông Bắc,3,2,Đang chờ sổ,7200
Quận 8,96,,2,2,Đã có sổ,1800
Quận 2,76,Tây Bắc,2,2,Đang chờ sổ,4200
Quận 8,72,,2,2,Đang chờ sổ,1600
Quận 4,37,,1,1,Giấy tờ khác,2600
Quận 9,58,,2,2,,1400
Quận Gò Vấp,74,,2,2,Đang chờ sổ,3500
Quận 1,56,Nam,2,1,Đã có sổ,2600
Quận Tân Phú,66,Đông,2,1,Đã có sổ,2330
Quận Bình Thạnh,95,Đông Nam,2,2,Đã có sổ,4500
Quận Gò Vấp,93,,3,3,Đã có sổ,3300
Quận 1,41,,1,,Giấy tờ khác,15000
Quận 9,59,Đông Nam,2,1,Đang chờ sổ,2010
Quận Phú Nhuận,52,Tây Nam,2,1,Đã có sổ,2400
Quận 9,67,,2,2,,2900
Quận 12,70,,2,2,,2050
Quận Bình Thạnh,70,Tây Bắc,2,2,Đã có sổ,1750
Quận Tân Phú,90,,3,2,Đã có sổ,2450
Quận Bình Tân,63,,2,2,,1950
Quận 8,92,,3,2,Đã có sổ,2890
Quận 9,66,,2,2,,2200
Quận Tân Phú,80,,3,2,Đang chờ sổ,3150
Quận 2,98,,2,2,Đang chờ sổ,12000
Quận 7,69,,2,2,Đã có sổ,2150
Quận Thủ Đức,40,,1,1,,1200
Quận 7,76,,2,2,Đang chờ sổ,2600
Quận Thủ Đức,51,,2,2,Đã có sổ,1500
Quận Phú Nhuận,72.5,,2,2,,4400
Huyện Bình Chánh,50,Tây,1,1,,1700
Quận Gò Vấp,50,,2,2,Đang chờ sổ,200
Quận 8,87,Tây,2,1,Đã có sổ,2950
Quận 7,106.9,Nam,3,2,Đã có sổ,4885
Quận 8,72,,2,2,Đã có sổ,1300
Quận Bình Thạnh,150,,4,3,Đã có sổ,10000
Quận 2,75,,2,2,,4750
Quận 2,100,,3,2,Đã có sổ,450
Quận 10,54,,2,1,Đã có sổ,2400
Quận 9,116,Đông Nam,3,2,Đang chờ sổ,4350
Quận Thủ Đức,75,,2,2,,4500
Quận Thủ Đức,56,,2,2,Đã có sổ,2800
Quận Tân Phú,66,Tây Bắc,2,1,Đang chờ sổ,2520
Quận 2,74.73,,2,2,Đang chờ sổ,4800
Quận 7,77,,3,3,Đã có sổ,2590
Quận 12,61,,2,2,Đã có sổ,1895
Quận 4,75,Đông,2,2,Đã có sổ,3100
Quận 2,89,,3,2,,4500
Huyện Bình Chánh,68,,2,1,Đang chờ sổ,2500
Quận Bình Thạnh,83.6,,2,2,,5500
Quận 7,58,,1,1,Đã có sổ,1750
Quận 8,60,,2,2,Đang chờ sổ,2200
Quận Gò Vấp,45,,1,1,,950
Quận Thủ Đức,62,Đông,2,2,Đang chờ sổ,1735
Quận 10,45,,1,2,Đang chờ sổ,2200
Quận 9,47,,2,1,Đang chờ sổ,1271
Quận 2,57,,1,1,Đang chờ sổ,4275
Quận Thủ Đức,55.88,,2,2,,1350
Quận 6,67,,2,2,Đã có sổ,4000
Quận 2,57,Đông Nam,1,1,Đang chờ sổ,3200
Quận Thủ Đức,74,,2,2,,2650
Quận Phú Nhuận,83,,3,2,,4900
Quận Phú Nhuận,84,,3,2,Đang chờ sổ,5180
Quận Gò Vấp,53,Đông Nam,2,1,Đang chờ sổ,2150
Quận 2,67,,2,2,Giấy tờ khác,4891
Quận Tân Phú,70,,2,2,Đang chờ sổ,2200
Quận 10,164,,4,3,,15000
Quận Bình Tân,50,,1,1,Đã có sổ,1400
Quận 8,49,,1,1,,2300
Quận Bình Tân,85,,3,3,Đã có sổ,2500
Quận 2,300,,3,3,Đang chờ sổ,16000
Quận 12,57,,2,1,Giấy tờ khác,2100
Quận 2,100,Đông Nam,3,2,Đang chờ sổ,4800
Quận Tân Phú,58,,2,1,Đã có sổ,1500
Quận Tân Phú,73,,2,2,Đã có sổ,2360
Quận Tân Phú,69,,2,2,Đang chờ sổ,2800
Huyện Bình Chánh,59,Đông Bắc,2,2,Giấy tờ khác,1900
Quận 12,57,Nam,2,1,Giấy tờ khác,650
Quận 12,65,,2,1,Giấy tờ khác,1100
Quận Thủ Đức,60,,2,2,Đang chờ sổ,260
Quận 2,64,Đông Nam,2,2,Đã có sổ,4120
Quận 8,64,Nam,2,2,Đang chờ sổ,1780
Quận 2,65,,2,2,Đã có sổ,1900
Quận 7,75,,2,2,,2800
Quận Tân Phú,66,,2,2,,2800
Quận 9,59,Tây,2,1,Đang chờ sổ,2100
Quận 2,32,,1,1,Đang chờ sổ,390
Quận 2,46.43,,1,1,Đang chờ sổ,3300
Quận 7,120,,3,2,Đã có sổ,5200
Quận 8,65,Bắc,2,1,Đang chờ sổ,1830
Quận 7,55,,1,1,Đã có sổ,2700
Quận Phú Nhuận,86,,3,2,,5500
Huyện Bình Chánh,45,Nam,2,2,Đã có sổ,380
Quận Tân Phú,64,,2,2,,2730
Quận Thủ Đức,55.52,Tây Bắc,2,2,Đã có sổ,1950
Quận 7,320,,4,,,18000
Quận 2,76,Tây Bắc,2,2,Đã có sổ,4260
Quận 8,60,,2,2,Đang chờ sổ,2210
Quận Bình Tân,57,,2,2,Đang chờ sổ,1420
Quận 7,66.66,,2,2,Đang chờ sổ,2300
Quận Bình Thạnh,101,,2,2,Đã có sổ,1850
Quận Tân Phú,78,,2,2,Đã có sổ,2700
Quận 9,59,Tây Nam,2,1,Đang chờ sổ,2200
Quận Bình Tân,50,Nam,1,1,Đã có sổ,1430
Quận Tân Phú,61,Đông Bắc,2,1,Đã có sổ,1880
Quận 7,70.12,,2,2,Đã có sổ,2590
Quận Thủ Đức,128,Đông Nam,2,2,Đã có sổ,4200
Quận Bình Tân,34,,1,1,,540
Quận Tân Phú,160,Tây Bắc,2,2,Giấy tờ khác,8800
Quận 2,65,,2,2,Đang chờ sổ,2150
Quận 8,73,,2,2,Đang chờ sổ,2000
Huyện Bình Chánh,60,,2,2,Đang chờ sổ,1380
Quận 8,67,,2,2,Đã có sổ,2434
Quận Bình Tân,71,Đông Nam,2,2,Đang chờ sổ,2500
Quận Bình Thạnh,119,Tây,3,2,Đã có sổ,11800
Quận 9,50,,1,1,Đang chờ sổ,4500
Quận 8,65,Đông Nam,2,2,Đang chờ sổ,1500
Quận 10,72,,2,2,,4950
Quận Thủ Đức,149,Tây Nam,3,2,Đang chờ sổ,4600
Quận Tân Phú,92,,3,2,,4200
Quận Bình Thạnh,92,,3,2,Đang chờ sổ,3600
Quận 9,90,,3,2,Đang chờ sổ,4000
Quận 6,62,,2,1,Đang chờ sổ,3550
Quận Bình Thạnh,70,,2,1,Đã có sổ,2550
Quận Tân Phú,91,,3,2,Đang chờ sổ,3250
Huyện Nhà Bè,150,,3,2,Đã có sổ,4000
Quận Tân Bình,87,,2,2,Đã có sổ,2950
Quận Tân Phú,66,Đông Bắc,2,1,Đang chờ sổ,3050
Quận Tân Phú,61.6,,2,1,Đã có sổ,1880
Quận 7,66.66,,2,2,Đang chờ sổ,2500
Quận Tân Phú,71,,2,2,,2500
Quận Gò Vấp,72,Nam,2,2,Đang chờ sổ,3850
Quận Tân Phú,90.78,Đông Nam,1,2,,6900
Quận Thủ Đức,56,,2,2,Đang chờ sổ,2400
Quận 9,99,,3,2,Đã có sổ,4150
Huyện Hóc Môn,33,,1,1,,350
Quận 10,78,,2,2,Đang chờ sổ,6250
Quận 4,30,Tây Nam,1,1,Đang chờ sổ,2550
Quận 9,65,,3,2,,1780
Quận Gò Vấp,40,Đông Nam,2,2,Đã có sổ,230
Quận 12,56,Đông,1,1,Đã có sổ,1495
Quận Bình Thạnh,70,,2,2,,2100
Quận Bình Tân,38,Tây Nam,1,1,Giấy tờ khác,640
Quận 9,91.2,Đông Bắc,3,2,Đang chờ sổ,4380
Quận 9,68,,2,2,,1790
Quận 2,87,,2,2,Đã có sổ,2350
Quận 8,65,Đông Nam,2,2,Đang chờ sổ,1500
Quận Tân Bình,33,,1,1,Giấy tờ khác,868
Huyện Bình Chánh,82,Đông Nam,3,3,Đang chờ sổ,2800
Quận 8,92,,3,2,Giấy tờ khác,2580
Huyện Bình Chánh,55,,2,2,Đang chờ sổ,950
Quận 12,73.7,Đông Nam,2,2,Đã có sổ,1570
Quận 2,75,,2,2,Giấy tờ khác,3700
Quận Thủ Đức,67,Đông Nam,2,2,,2200
Quận Tân Phú,74,,2,2,Đang chờ sổ,3750
Quận 7,99,,2,2,Đã có sổ,4000
Quận 2,90,,3,2,Đang chờ sổ,4295
Quận 12,68,,2,2,Giấy tờ khác,2700
Quận 8,52,,2,1,Đang chờ sổ,1300
Huyện Bình Chánh,60,Đông,2,2,Đang chờ sổ,2200
Quận 12,50,,2,2,,1800
Quận Thủ Đức,72,Đông,2,2,Đã có sổ,2750
Quận Gò Vấp,37,Đông Nam,1,1,Đã có sổ,950
Quận Bình Tân,80.5,,2,2,,3200
Quận 9,55,Tây Bắc,1,1,Đã có sổ,1730
Quận Gò Vấp,53,,2,2,Đang chờ sổ,2200
Quận 8,62,,2,2,Đang chờ sổ,1660
Quận 7,76,,2,2,,3850
Quận 9,59,,2,1,Đang chờ sổ,2150
Quận 9,46.5,,1,1,,1780
Quận 9,46,,1,1,Đang chờ sổ,1820
Quận 6,61,,2,1,Đang chờ sổ,2000
Quận Thủ Đức,38.1,,1,1,Đã có sổ,1150
Quận 9,69,,2,2,Đang chờ sổ,2600
Quận 10,43,,1,1,Đang chờ sổ,3300
Quận Phú Nhuận,50,,2,2,,200
Quận Phú Nhuận,109,,3,2,,8150
Quận 5,74,Tây Nam,2,2,Đã có sổ,5200
Quận 5,75,,2,2,Đã có sổ,5200
Quận 9,52,Đông Nam,1,1,Đang chờ sổ,3300
Quận 9,68,,2,2,,1000
Quận Phú Nhuận,48,Tây,1,1,Đang chờ sổ,3500
Quận 9,67,,2,2,,2350
Quận Phú Nhuận,70,,2,,Giấy tờ khác,4300
Quận Bình Thạnh,66,,2,2,Đang chờ sổ,3500
Quận 2,101,Đông Nam,3,2,Giấy tờ khác,6051
Quận Bình Tân,71,Đông,2,1,Đã có sổ,1880
Quận Bình Tân,43,,1,1,Giấy tờ khác,1500
Quận 8,150,,3,3,Đã có sổ,4000
Quận 2,57,Đông,2,2,Giấy tờ khác,1600
Quận 9,50,,1,1,,1650
Quận 8,73,Nam,2,2,Đang chờ sổ,2300
Quận 9,65,,2,2,Đã có sổ,2025
Quận Thủ Đức,60,,2,2,Đã có sổ,1680
Quận 8,68,Tây Bắc,2,2,,2640
Quận 7,100,,2,2,Đã có sổ,4100
Quận Tân Phú,67,,2,2,Đang chờ sổ,2500
Quận 2,109,,3,2,Đang chờ sổ,5300
Quận 8,77.64,,2,2,Đã có sổ,2169
Quận Bình Tân,56.012,,2,1,,2220
Quận Bình Tân,56.0099,,2,1,,2250
Quận Tân Phú,45,Tây,1,1,Đã có sổ,1560
Quận Bình Tân,56.0101,,2,1,,2920
Quận Bình Tân,75.0015,,2,2,,2920
Quận Bình Tân,77.001,,2,2,,2588
Quận Bình Tân,89,Bắc,2,1,Đã có sổ,1880
Quận Tân Phú,60.62,Đông Nam,2,2,Đã có sổ,3300
Quận 4,57,Đông Bắc,2,1,Đang chờ sổ,3950
Quận 5,82,Tây,2,2,Đã có sổ,6500
Quận 10,53,,2,2,Đang chờ sổ,2650
Quận 7,87,Tây,3,2,,3500
Quận Thủ Đức,50,,1,1,,1400
Quận 12,73.7,Đông Nam,2,2,Đã có sổ,1590
Quận 10,75,Đông,2,2,Đang chờ sổ,3450
Quận 12,33,,1,1,Giấy tờ khác,800
Quận Thủ Đức,57,Đông Nam,2,2,Đã có sổ,2400
Quận 2,50,Nam,2,1,,2450
Huyện Nhà Bè,52,,1,1,Giấy tờ khác,1600
Quận 7,53,,2,1,,1800
Quận 7,320,Tây Nam,4,3,Giấy tờ khác,18000
Huyện Nhà Bè,65,,2,2,Đã có sổ,2350
Quận Bình Thạnh,37.5,,1,1,Đã có sổ,950
Quận 9,47.5,Tây,1,1,Giấy tờ khác,1860
Quận 2,65,,2,2,Đã có sổ,4150
Quận Thủ Đức,51,Đông Nam,1,1,Đang chờ sổ,1500
Quận 9,35,,1,1,,1090
Quận Gò Vấp,70,Đông Nam,2,1,Giấy tờ khác,1750
Quận Bình Tân,57,Đông Nam,1,1,Đang chờ sổ,2250
Quận Thủ Đức,60,,2,2,Đang chờ sổ,1100
Quận 12,80,Nam,3,2,Giấy tờ khác,2800
Huyện Bình Chánh,76,Tây,2,2,Đang chờ sổ,4000
Quận Tân Phú,106,,3,3,Đang chờ sổ,3150
Quận Bình Thạnh,61,,2,2,Đã có sổ,2650
Quận 9,59.4,,2,1,Đang chờ sổ,1899
Quận 7,77,Đông,2,1,Đã có sổ,2500
Quận Phú Nhuận,113,,3,2,,4900
Quận 8,65,Tây,2,1,Đang chờ sổ,1820
Quận Tân Phú,91,,3,2,Đang chờ sổ,3500
Quận 2,83,Đông Nam,2,2,Đã có sổ,2500
Huyện Bình Chánh,55,,2,2,,1500
Quận 9,58,,2,2,Đã có sổ,1400
Quận Tân Phú,60,Tây Nam,2,1,Đã có sổ,1900
Quận 9,58,,2,2,,1400
Quận Tân Phú,64,,2,1,,2400
Quận Tân Bình,57,,2,1,Đang chờ sổ,3320
Quận 9,59,Đông Bắc,2,1,Đang chờ sổ,2140
Quận 9,52,Đông Nam,1,1,Đang chờ sổ,2900
Quận Tân Phú,74,,2,2,Đang chờ sổ,3400
Quận 2,88,,2,,,6200
Quận Bình Tân,56,,2,1,Đang chờ sổ,2200
Quận 12,58,Đông,2,2,,2100
Quận Thủ Đức,71,,2,2,,3300
Quận Bình Tân,49.4,,1,1,Đang chờ sổ,1350
Quận Thủ Đức,98,Tây Bắc,3,2,Đang chờ sổ,4690
Quận 12,83,,2,2,Đã có sổ,1980
Huyện Bình Chánh,56,,2,1,Đã có sổ,2250
Huyện Bình Chánh,64,Nam,2,2,Đang chờ sổ,1150
Quận 9,47,Đông Bắc,1,1,Giấy tờ khác,1780
Quận 9,67,Tây Nam,3,2,Đang chờ sổ,2000
Quận 5,126,,4,3,Đã có sổ,5600
Quận Bình Thạnh,54,Bắc,1,1,Đã có sổ,4300
Huyện Bình Chánh,59,,2,2,,660
Quận 8,60,,2,1,,1430
Quận 9,33.8,Tây,1,1,Đang chờ sổ,1335
Quận Bình Thạnh,53,,1,1,Đang chờ sổ,2800
Quận Bình Thạnh,34,,1,,Giấy tờ khác,900
Quận 8,68,,2,2,,2280
Quận 8,70,,2,2,,2100
Huyện Bình Chánh,65,,2,1,Đang chờ sổ,2100
Quận 4,57,Đông Bắc,2,1,Đang chờ sổ,3950
Quận 4,74,,2,2,Đang chờ sổ,4650
Quận 8,50,Nam,1,1,,1550
Quận Tân Phú,66,Tây Nam,2,2,,2570
Quận 7,62,Đông Bắc,2,2,Đang chờ sổ,2800
Quận 1,40,,1,1,Đã có sổ,2550
Quận 9,54,,1,1,Đang chờ sổ,3100
Huyện Bình Chánh,58,Đông Bắc,2,2,Đang chờ sổ,1820
Quận 8,68,,2,2,,2650
Quận Phú Nhuận,70,,2,2,,3970
Quận 9,59,Tây,2,1,Đang chờ sổ,2000
Quận 9,70,,2,1,,100
Quận 5,36,,1,1,Đã có sổ,2250
Quận 10,35,,2,1,Giấy tờ khác,1800
Quận 2,98,Nam,3,2,Đã có sổ,6450
Quận 2,55,,1,1,Đang chờ sổ,4400
Huyện Bình Chánh,55,,2,,Đang chờ sổ,990
Quận 7,76.5,Bắc,2,2,Đang chờ sổ,3500
Quận 8,51.16,,2,1,,1550
Quận 8,78.91,,3,2,Giấy tờ khác,2050
Quận 8,54,,2,1,,1800
Quận Gò Vấp,76,Bắc,2,2,Đang chờ sổ,2100
Quận 6,61,,2,1,,2100
Quận Bình Tân,75,,2,2,,2600
Quận 10,45,,2,1,,2020
Huyện Bình Chánh,58,,2,1,,2600
Quận 8,61.75,,2,2,Giấy tờ khác,1663
Quận 2,93,,2,2,Đang chờ sổ,9100
Quận Gò Vấp,68,Đông,2,2,Đã có sổ,2650
Quận Bình Tân,56,,2,2,Đang chờ sổ,2220
Quận Bình Thạnh,45,Tây Nam,1,1,Đã có sổ,2000
Quận 9,51,,2,1,Đang chờ sổ,1750
Quận 12,73,,2,2,,2100
Quận 7,57.1,Nam,2,1,Đang chờ sổ,2280
Quận 2,148,Đông Bắc,3,3,Đang chờ sổ,19000
Quận 12,65,,2,2,,1700
Quận Bình Tân,60,,2,,Đã có sổ,1450
Huyện Bình Chánh,78,,2,2,Đang chờ sổ,2900
Quận Bình Tân,68,,2,2,Đang chờ sổ,2000
Huyện Bình Chánh,72,,2,2,Đã có sổ,2750
Quận Bình Tân,37.5,,1,1,Giấy tờ khác,600
Huyện Bình Chánh,92,Đông,2,2,Đã có sổ,2500
Quận Tân Phú,78,,2,2,Đã có sổ,2999
Quận 8,2.5,Tây,1,1,Đã có sổ,1050
Quận 7,95,Bắc,3,2,Đang chờ sổ,5300
Quận Tân Phú,53,,2,1,Đang chờ sổ,2550
Quận Thủ Đức,47,,1,2,Giấy tờ khác,1100
Quận Tân Phú,63,Bắc,2,2,Đã có sổ,2000
Quận 9,40,,2,1,Đang chờ sổ,500
Quận 8,70,Đông Bắc,2,2,Đang chờ sổ,1850
Quận 9,67,,2,2,Đang chờ sổ,2350
Quận 6,79,Tây,2,2,Đang chờ sổ,3600
Quận Bình Tân,68,Nam,2,2,Đã có sổ,2520
Quận 2,45,,1,1,,1900
Quận Thủ Đức,72,,2,2,,2490
Quận 6,120,,3,2,Đã có sổ,2650
Quận Thủ Đức,60.5,,2,2,,1640
Quận 8,61.75,,2,2,Giấy tờ khác,1645
Quận 11,70,Tây,2,2,Đã có sổ,2450
Quận 7,40,,1,,Giấy tờ khác,1100
Quận Thủ Đức,56,,2,2,Đã có sổ,2130
Huyện Nhà Bè,71,,2,2,Đang chờ sổ,2650
Quận 6,72,,2,2,,2200
Quận 7,70,,2,2,Đang chờ sổ,2600
Quận 2,57,,2,2,Đã có sổ,2650
Quận 8,148,,3,3,,4300
Quận 7,68.22,Tây Bắc,2,2,Đang chờ sổ,3200
Quận Phú Nhuận,109,,3,2,Đang chờ sổ,8580
Quận 6,61,Đông,2,1,Đang chờ sổ,2100
Quận Tân Phú,55,,2,1,Đang chờ sổ,1980
Quận Tân Bình,34,,2,1,Giấy tờ khác,1050
Quận 7,68.22,Đông Nam,2,2,Đang chờ sổ,3200
Quận 9,73,,2,2,Giấy tờ khác,760
Quận Gò Vấp,50,,2,2,Đã có sổ,1650
Quận 2,102,,2,2,Đang chờ sổ,3450
Quận Tân Phú,88,Nam,3,2,Đang chờ sổ,3070
Quận 7,38,,1,1,Đang chờ sổ,2100
Quận 12,65,,2,2,,1700
Quận Bình Thạnh,50,Bắc,2,2,Đã có sổ,2650
Quận 3,26,,2,2,Đã có sổ,3000
Quận Bình Thạnh,60,Đông,2,1,,3500
Huyện Bình Chánh,50,,2,2,Giấy tờ khác,1080
Quận 8,85,Đông Bắc,3,2,Đang chờ sổ,2795
Quận Tân Bình,6,,2,2,Đã có sổ,3400
Quận 7,100,,3,2,Đã có sổ,3600
Quận 2,85,Bắc,3,3,Đang chờ sổ,3160
Quận Thủ Đức,57.4,Đông Nam,2,2,,1650
Quận Thủ Đức,65,,2,1,,200
Quận 9,59,Tây,2,1,Giấy tờ khác,1385
Huyện Bình Chánh,78,Đông,2,2,Đang chờ sổ,3700
Quận 9,75,,2,2,Đã có sổ,2890
Quận Tân Phú,84,,2,2,Đang chờ sổ,3990
Quận 9,87,,3,2,,1900
Quận Thủ Đức,71,,2,2,,1770
Quận Bình Thạnh,78,,2,2,,10500
Quận 1,80,,2,2,,11000
Quận 7,66,Nam,2,2,Đang chờ sổ,2250
Quận 5,68,Đông Nam,7,2,Đã có sổ,1950
Quận 10,72,Đông Bắc,2,2,Đang chờ sổ,6600
Quận 2,60,Đông Bắc,2,1,Đã có sổ,2100
Quận Tân Phú,85,,2,2,Đang chờ sổ,4200
Quận Phú Nhuận,84.61,,3,2,,5070
Quận 2,112,,2,2,Đã có sổ,5200
Quận Bình Thạnh,61.5,,2,1,Đã có sổ,2600
Quận 6,60,Đông,2,2,Đã có sổ,2080
Quận Thủ Đức,60,Đông Nam,2,2,Đang chờ sổ,1790
Quận Thủ Đức,61,Đông Nam,2,1,Đang chờ sổ,2300
Quận Thủ Đức,69,Đông Nam,2,2,Đang chờ sổ,2550
Quận 8,79,,3,2,,2050
Huyện Bình Chánh,69,,2,2,,450
Quận 8,68,Đông,2,2,Đang chờ sổ,1900
Quận 9,75,,2,2,,200
Quận 8,56,,2,2,Đã có sổ,1500
Huyện Bình Chánh,57.5,,2,1,Đã có sổ,1550
Quận 2,98,,3,2,,5500
Quận 2,70,,2,2,,4100
Quận 9,52,,1,1,Giấy tờ khác,3300
Quận 9,65,,2,2,Đã có sổ,2020
Quận 12,50,,2,2,,1800
Quận 2,50,,1,1,,3150
Huyện Bình Chánh,59,Tây Bắc,2,2,Giấy tờ khác,700
Quận 7,80,,2,2,Đã có sổ,2400
Quận Bình Tân,64,,2,2,Đang chờ sổ,1550
