QUẬN HUYỆN,DIỆN TÍCH - M2,HƯỚNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ,GIÁ - TRIỆU ĐỒNG
Quận Thủ Đức,73.5,,2,2,Đã có sổ,2100
Quận Thủ Đức,56,,2,2,,1500
Quận 8,78.88,Tây Nam,2,2,Đang chờ sổ,2650
Quận 7,68.23,Nam,2,2,Đang chờ sổ,3400
Quận Thủ Đức,67,,2,2,,2750
Quận Tân Bình,40,,1,1,Đã có sổ,950
Quận Tân Phú,52,,2,2,Đã có sổ,1700
Quận 9,51,,1,1,Đang chờ sổ,1759
Quận 2,60.1,,2,1,Đã có sổ,2000
Quận 7,73,,2,1,,2400
Quận 12,74,Bắc,2,2,Đã có sổ,1699
Quận Tân Phú,53.2,,2,1,Đang chờ sổ,2450
Quận 8,80,,2,2,Đã có sổ,2500
Huyện Bình Chánh,56,,2,1,Đang chờ sổ,2270
Quận 10,101,,3,2,,7790
Quận 2,75,,2,2,,4000
Quận 9,58.1,,2,2,Đã có sổ,2150
Huyện Nhà Bè,106,Đông,3,2,Đang chờ sổ,2400
Quận 12,65,,2,2,,1900
Quận Gò Vấp,77,Bắc,2,2,Đã có sổ,3900
Quận Tân Phú,71,Tây,2,2,Giấy tờ khác,2700
Quận 2,41,,1,1,Đã có sổ,1150
Quận 8,60,,2,1,,2000
Quận 7,73.39,Nam,2,2,Đang chờ sổ,3500
Huyện Bình Chánh,84,,3,3,Giấy tờ khác,500
Quận Tân Phú,84,,2,2,,3750
Quận Tân Phú,75,,2,2,Đã có sổ,2180
Quận Bình Tân,56,Bắc,2,1,,2150
Quận Tân Phú,127,,3,3,,4700
Quận 9,70,Tây Bắc,2,2,Đang chờ sổ,2400
Quận Thủ Đức,60,Đông Bắc,2,2,Giấy tờ khác,1650
Quận 8,62.37,,2,2,,1292
Quận Tân Phú,91,Đông Bắc,3,2,Giấy tờ khác,3900
Quận 9,86,,3,2,,2000
Quận 2,155,,3,2,Đang chờ sổ,24000
Quận 7,58.87,Nam,2,1,Đã có sổ,3000
Quận Bình Tân,81,Bắc,3,2,Đã có sổ,2250
Quận 7,75.06,,2,2,,2950
Quận Bình Tân,83,Đông Bắc,2,2,Đang chờ sổ,2400
Quận 1,121,Đông Bắc,3,2,Đang chờ sổ,24000
Quận 3,70,,2,,,3200
Quận 9,58,,2,2,,1600
Quận 7,92,Đông Nam,2,2,Đã có sổ,2400
Quận 9,65,,2,2,Đang chờ sổ,2000
Quận 8,52,,1,1,Giấy tờ khác,1890
Quận 8,150,,3,3,Đã có sổ,4100
Quận 8,230,,5,5,Đã có sổ,6500
Quận 10,75,,2,2,Đang chờ sổ,5100
Quận Thủ Đức,57,Tây Nam,2,2,Đã có sổ,1850
Quận 8,150,,3,3,Đã có sổ,4000
Quận 11,116,,3,2,Đã có sổ,5900
Quận 9,69.2,Đông Nam,2,2,Giấy tờ khác,2500
Quận 2,94.52,Nam,2,2,Đang chờ sổ,2950
Huyện Bình Chánh,54,Tây,2,1,Đang chờ sổ,1750
Quận Bình Thạnh,46,,1,1,Đã có sổ,1950
Quận Gò Vấp,75,Đông Nam,2,2,Đã có sổ,2650
Quận Bình Tân,75,Đông,2,2,Đang chờ sổ,2580
Quận 2,75,Tây Bắc,2,2,Giấy tờ khác,4300
Quận Bình Tân,33.9,,1,1,,530
Quận 10,73,,2,2,Đang chờ sổ,5100
Quận Tân Phú,112,Tây Bắc,2,2,Giấy tờ khác,5834.09379
Quận 7,110,,3,2,Đã có sổ,5700
Quận 2,102,Nam,3,2,,3100
Quận Thủ Đức,52,,2,1,Đã có sổ,1650
Quận 4,83,,2,2,Đã có sổ,3950
Quận 2,63,Tây Bắc,2,2,Đã có sổ,4000
Quận 9,47.3,,1,1,Đang chờ sổ,1750
Quận 8,56,,2,2,,1313
Quận 12,78,Tây,2,2,Đã có sổ,2600
Quận 12,58,,2,2,,1500
Quận Bình Thạnh,105,Tây Bắc,3,2,Đã có sổ,3900
Quận 2,88,,3,2,Đã có sổ,3550
Quận 8,82,,2,2,,2690
Quận 9,59,,2,,,2170
Quận 4,112,Tây Nam,3,2,Đã có sổ,6350
Quận 9,100,,2,1,Đã có sổ,1450
Quận 2,72,,2,2,,2856.8
Quận Tân Phú,65,,2,1,Đã có sổ,2350
Quận Tân Phú,70,,2,2,Đang chờ sổ,1400
Quận Thủ Đức,68,,2,2,,2550
Quận 10,70,,2,2,Đang chờ sổ,4650
Huyện Nhà Bè,70,,2,2,,3400
Quận 2,109,,3,2,,5300
Quận 12,69,,3,2,Đang chờ sổ,1650
Quận 7,76,,2,2,Đã có sổ,3650
Quận Bình Tân,34,,1,1,Giấy tờ khác,530
Quận 7,69,,2,2,Đang chờ sổ,2500
Quận Thủ Đức,56,,1,1,Giấy tờ khác,1800
Quận 8,73,,2,2,Đang chờ sổ,1980
Quận 9,54,,1,,Đang chờ sổ,3300
Quận 2,61,Tây Bắc,2,1,Đang chờ sổ,1800
Quận Bình Tân,52.7,,2,1,Đang chờ sổ,1550
Quận Thủ Đức,56,,2,2,Đang chờ sổ,1500
Quận Phú Nhuận,85,,3,2,Giấy tờ khác,5600
Quận 7,147,,3,3,Đã có sổ,6900
Quận 2,75,,2,2,Đang chờ sổ,1200
Quận 1,123,,1,,,128.45
Quận 2,62,,2,1,,2250
Quận Bình Thạnh,55,Tây,1,1,Đã có sổ,2350
Quận 12,49,,1,,Đang chờ sổ,750
Quận 8,55,,2,1,,2000
Quận Bình Thạnh,1,,1,,Đã có sổ,100
Quận Thủ Đức,53,,2,1,Đang chờ sổ,1550
Quận 8,85,Đông,3,2,Đang chờ sổ,2900
Quận Thủ Đức,68,,2,2,,2550
Quận 9,58.1,,2,2,Đang chờ sổ,2150
Quận 9,69.2,,2,2,,2419
Quận 9,47,Tây Bắc,1,1,Đang chờ sổ,1800
Quận Gò Vấp,30,,1,1,Đã có sổ,900
Quận 7,106,Tây,2,2,,3500
Quận 8,45,,1,1,,1700
Quận 9,72,,2,2,Đang chờ sổ,2350
Huyện Nhà Bè,250,,5,3,,3900
Quận 7,124,,2,2,Giấy tờ khác,9200
Huyện Bình Chánh,50,,1,1,Đang chờ sổ,1650
Quận Phú Nhuận,109,,3,2,,6900
Quận Bình Thạnh,73,,2,2,Đã có sổ,2800
Quận 12,57,,2,,,123.46
Quận Tân Phú,80,Tây Nam,2,2,Giấy tờ khác,5888
Quận 7,85,Nam,3,2,Đã có sổ,3200
Quận Bình Tân,78,,2,2,Giấy tờ khác,2900
Quận 7,320,,4,3,Giấy tờ khác,20000
Quận Tân Phú,71,,2,2,,3500
Quận 7,75,,2,2,,2800
Quận 2,73,,2,,,3500
Quận Tân Phú,72,,2,2,,4300
Quận 3,75.29,,2,,,7800
Quận 4,66,,2,2,Đã có sổ,1620
Quận Thủ Đức,57.9,Đông Nam,2,2,Đang chờ sổ,1700
Quận 9,50,,2,1,Đang chờ sổ,1450
Quận Tân Phú,160,,2,2,Giấy tờ khác,8900
Quận 2,109,,3,2,Đang chờ sổ,5250
Quận Tân Bình,73,,2,2,,4150
Quận 8,71,Tây Nam,2,1,Đã có sổ,1600
Quận 11,70,,2,2,Đã có sổ,1250
Quận 8,45,,1,1,Đang chờ sổ,1650
Quận 8,68,,2,2,Đã có sổ,2200
Quận Thủ Đức,51,,1,1,,1600
Quận 7,76,,2,2,Giấy tờ khác,3700
Quận Bình Tân,30,,1,1,Giấy tờ khác,800
Quận Tân Phú,67,,2,2,Đã có sổ,2450
Quận 12,65,,2,2,,2250
Quận 8,66.45,,2,2,,1698
Huyện Bình Chánh,82,Tây Bắc,2,2,Đang chờ sổ,3100
Huyện Bình Chánh,55,,2,2,Đang chờ sổ,990
Huyện Bình Chánh,72,,2,1,Đang chờ sổ,2700
Huyện Bình Chánh,65,,2,2,Đã có sổ,2000
Quận 9,69,Đông Nam,2,2,Đang chờ sổ,2500
Quận Tân Phú,96,,2,2,Giấy tờ khác,5350
Quận 7,88,,2,2,Đã có sổ,2350
Quận 7,131.8,Tây,4,3,Đang chờ sổ,7200
Quận 4,65,,2,2,Đã có sổ,1450
Quận 12,50,,2,2,Đã có sổ,1280
Quận 8,82,,2,2,Giấy tờ khác,2600
Quận 7,41,,1,1,,999
Quận 4,76,,2,1,Đã có sổ,2900
Quận Tân Phú,67,,2,1,Đang chờ sổ,2450
Quận 4,92.14,,3,2,Đã có sổ,6800
Quận 10,73,,2,2,Đang chờ sổ,4870
Quận Gò Vấp,53,Đông Bắc,1,1,,2000
Quận Phú Nhuận,88,,3,2,,5490
Quận Tân Phú,66,,2,2,,2815
Quận 7,62,,2,2,Đã có sổ,2200
Quận 7,65,,2,2,Đang chờ sổ,3470
Quận 7,52,,2,1,Đang chờ sổ,2919
Quận 7,89,Đông,3,2,Đã có sổ,3145
Quận 3,79,Nam,3,3,Đã có sổ,1780
Quận Tân Phú,76,,2,2,,2100
Quận 8,62,,2,2,,1450
Quận 9,59,,2,1,Đang chờ sổ,2000
Quận Gò Vấp,73,Đông Nam,2,2,Đã có sổ,2000
Quận 2,76,Đông Bắc,2,2,,4050
Quận 9,58,,2,2,,1600
Huyện Nhà Bè,52,,2,1,,1600
Huyện Bình Chánh,60,,2,2,Đang chờ sổ,1450
Huyện Nhà Bè,67,Đông Bắc,2,2,Đã có sổ,2350
Quận 8,55,,2,2,Đã có sổ,1560
Quận 7,88,,3,2,Đã có sổ,3180
Quận Thủ Đức,145,,1,2,Đã có sổ,4200
Quận Tân Phú,70,,2,2,Đang chờ sổ,2700
Quận 8,68,Đông Bắc,2,2,Đã có sổ,3000
Quận 7,96,,2,2,Đã có sổ,4600
Quận Bình Thạnh,90,,3,2,Đã có sổ,3480
Quận 8,144,Tây Bắc,3,3,Giấy tờ khác,4390
Quận 7,78,,2,2,Đã có sổ,3000
Quận Tân Phú,75,,2,2,Đã có sổ,2350
Quận 12,79,,3,2,Đã có sổ,2900
Quận Bình Tân,50,,2,1,,2100
Quận 2,49,,1,1,Đang chờ sổ,2740
Huyện Nhà Bè,75,,2,2,Đã có sổ,1750
Huyện Nhà Bè,76,,2,2,Đã có sổ,1680
Quận 2,75,,2,2,Đã có sổ,4600
Quận 12,50,,4,5,Đã có sổ,4500
Quận 2,51.14,,1,1,Đang chờ sổ,2500
Quận 7,68,,2,2,Đang chờ sổ,2090
Quận Tân Bình,43,,2,1,Đã có sổ,1550
Huyện Nhà Bè,60,,2,1,,1750
Quận 8,55,,2,2,,850
Quận 7,38,Bắc,1,1,Đang chờ sổ,1660
Quận Thủ Đức,87.52,Đông Bắc,3,2,Đang chờ sổ,3950
Quận 7,55,,1,1,Đang chờ sổ,1880
Quận Tân Phú,71,,2,2,,3280
Quận 7,130,,3,2,Đã có sổ,5000
Quận 7,122,,3,2,Đã có sổ,7100
Quận 7,76,,2,2,,3900
Quận Tân Phú,88,,3,2,Đang chờ sổ,3000
Quận 4,67,,2,2,,3550
Quận 7,90,Tây Bắc,2,2,Đang chờ sổ,1950
Quận 7,38.3,,1,1,Đang chờ sổ,1700
Quận 7,73,,2,2,,1950
Quận Thủ Đức,51,,1,1,,1945
Quận 2,70,,2,2,Đã có sổ,3800
Quận 3,30,,1,1,Đã có sổ,2050
Quận Thủ Đức,71.84,,2,2,Đang chờ sổ,3420
Quận Thủ Đức,59,Nam,2,2,Đã có sổ,1550
Quận 8,51,,1,1,Đang chờ sổ,1550
Quận Thủ Đức,67,,2,2,,2800
Quận 8,60,,2,,,2350
Quận 9,59,,2,1,,1990
Quận 2,108,,2,2,,5200
Quận 9,47.2,,2,1,,1710
Quận Thủ Đức,60,,2,2,,1600
Quận 12,58,,2,2,,1550
Huyện Bình Chánh,72,Tây,2,2,Đang chờ sổ,2550
Quận Thủ Đức,68,,2,2,,2600
Huyện Bình Chánh,150,Tây,4,4,Đã có sổ,7200
Quận 2,88,,2,2,Đang chờ sổ,6200
Quận 7,78,Tây,2,2,Đã có sổ,4000
Quận 7,58,,2,,,2160
Quận 9,59,,2,1,Đang chờ sổ,2050
Quận 8,75,,2,2,Đang chờ sổ,2900
Huyện Nhà Bè,120,,3,3,Đã có sổ,2200
Quận Bình Thạnh,90,,2,2,Đã có sổ,4700
Quận 9,45,,1,1,Đã có sổ,500
Quận Thủ Đức,50,,2,2,Đã có sổ,1470
Quận 7,79,Đông Nam,2,2,Giấy tờ khác,2280
Quận 2,59,,2,2,Đang chờ sổ,1279
Quận Thủ Đức,73.5,Tây Bắc,2,2,Đã có sổ,2350
Quận 8,105,,2,2,Đã có sổ,2600
Quận 4,80,,2,2,Đã có sổ,3350
Quận 9,60,,2,1,Đang chờ sổ,2050
Quận 2,64,,2,2,Đã có sổ,3200
Huyện Bình Chánh,76,,2,2,,206
Quận 9,59,,2,1,Đang chờ sổ,2700
Quận 12,43,Tây,2,1,,1150
Quận Tân Phú,86,,3,2,Đã có sổ,2450
Quận 7,104,,3,2,Giấy tờ khác,4700
Quận Bình Tân,69,Đông Nam,2,2,Giấy tờ khác,1160
Quận 9,67,,2,2,Đã có sổ,2550
Quận 12,65,,2,2,,1800
Huyện Bình Chánh,63.5,Tây Bắc,2,1,Đang chờ sổ,1450
Quận Tân Bình,95,,2,2,Đã có sổ,4100
Quận Bình Tân,64,,2,2,Đã có sổ,1750
Quận 8,50,,1,1,Đang chờ sổ,1600
Quận 9,47,,1,1,,1134
Quận 9,67,Tây Nam,2,2,Đã có sổ,1930
Quận 9,40,,1,1,,1630
Quận Thủ Đức,85,Tây Bắc,2,2,Đã có sổ,2400
Quận 9,75,,2,2,Giấy tờ khác,699
Quận 5,114,Bắc,3,2,Đã có sổ,3500
Huyện Nhà Bè,99,,2,2,Đã có sổ,2300
Quận Tân Bình,205,Đông Nam,5,4,,8700
Quận Thủ Đức,50,Tây Bắc,2,1,Đã có sổ,1890
Quận Thủ Đức,65,Đông Nam,2,1,Đã có sổ,2300
Quận Thủ Đức,63,Tây Bắc,2,2,Đã có sổ,2050
Quận 8,73,,2,2,,2130
Quận 10,70,,2,2,Đã có sổ,4450
Quận 8,73,Nam,2,2,Đang chờ sổ,2330
Quận Tân Phú,45,,1,1,,1380
Quận Bình Thạnh,64.5,,2,2,Đã có sổ,3600
Quận 4,117,,3,3,Đang chờ sổ,6200
Quận 9,58,,2,2,,1400
Quận 9,64,,2,2,,1800
Quận 7,80,Tây Nam,2,2,Đang chờ sổ,3250
Quận 9,47,,2,1,Đang chờ sổ,1225.00578
Huyện Bình Chánh,65,,2,2,Đang chờ sổ,2360
Quận 2,74,,2,2,,6500
Quận 2,154,Đông,3,2,,5200
Quận 7,38,Đông,1,1,,2050
Quận Bình Tân,53,,1,1,Đang chờ sổ,1830
Quận 9,69,Tây Bắc,2,2,Đang chờ sổ,2760
Quận Tân Phú,94,,3,2,Đang chờ sổ,3280
Quận 7,40,,1,1,,1100
Quận 6,48,Đông,1,1,Đã có sổ,1400
Quận 8,79,,2,2,Đã có sổ,2893
Quận 8,90,,3,2,,3600
Quận Tân Phú,63,Đông,2,1,Đã có sổ,3050
Huyện Nhà Bè,70,,2,2,,2800
Quận 6,61,,2,1,Đang chờ sổ,1850
Huyện Nhà Bè,70,Đông,2,2,Đang chờ sổ,3050
Quận 2,100,Đông Nam,2,2,Đã có sổ,8550
Quận 2,64,Tây Nam,1,1,Đang chờ sổ,6600
Quận 2,81,,2,2,Đã có sổ,2200
Quận 2,98,Tây,2,2,Đang chờ sổ,12380
Quận Tân Phú,92,,3,2,Đã có sổ,3900
Quận 2,72,,3,1,,2200
Quận 1,90,Đông Bắc,2,2,Đã có sổ,4300
Quận 9,62,,2,1,,1520
Quận 8,60,,2,1,Đã có sổ,2400
Quận 7,38,,1,1,Đã có sổ,1300
Quận 8,52,,1,1,,1650
Quận 2,88,,2,2,Đã có sổ,7550
Quận Tân Phú,97,Tây Bắc,2,2,Giấy tờ khác,4900
Quận 2,75,Đông Bắc,2,2,Đã có sổ,1950
Quận 7,65,,2,1,Đang chờ sổ,3700
Quận 9,59,,2,1,,2000
Quận Phú Nhuận,42,,1,1,Đã có sổ,1850
Quận Tân Phú,86,,3,2,Đang chờ sổ,3280
Quận 2,56,,2,2,Đã có sổ,3100
Quận 7,70,Bắc,2,2,Đã có sổ,2590
Quận Bình Thạnh,92,,2,,,7000
Quận Tân Bình,38,,1,1,Đang chờ sổ,950
Huyện Bình Chánh,59,,2,2,Giấy tờ khác,2200
Quận Tân Phú,91,,3,2,,3450
Quận Tân Phú,90,Nam,3,2,,2750
Quận 7,161,,4,4,Giấy tờ khác,2550
Huyện Nhà Bè,71,Tây,2,2,Đang chờ sổ,2880
Quận 9,98,,3,2,Đã có sổ,2450
Quận 9,54,,1,1,Đã có sổ,1750
Quận 4,90,,3,2,Giấy tờ khác,4550
Quận Tân Bình,74,,2,2,,3780
Quận Bình Tân,86,Tây Bắc,3,2,,2300
Quận 7,129,,3,2,Đã có sổ,5000
Quận Tân Phú,53,Tây Nam,1,1,,2750
Quận 9,47,Tây Bắc,1,1,Giấy tờ khác,1720
Quận 3,25,,1,1,,1300
Quận 7,54,Đông Bắc,2,2,Đã có sổ,2050
Quận 9,46.9,Đông Nam,1,1,Đang chờ sổ,1710
Quận 2,71.6,Đông Nam,2,2,,4450
Quận 7,55,,2,1,Đang chờ sổ,2300
Quận Tân Phú,60,,2,2,Đang chờ sổ,2970
Quận 6,120,,3,2,Đã có sổ,2890
Quận Bình Tân,56,Đông,2,1,,2190
Quận Tân Phú,86.12,Bắc,3,2,Đang chờ sổ,3200
Quận 4,85,,3,2,Đang chờ sổ,4780
Quận 12,56,,2,2,Đang chờ sổ,1520
Quận Tân Phú,45,,1,1,,1370
Quận Tân Phú,53,,2,1,Đang chờ sổ,2450
Quận Thủ Đức,58,,2,2,Đang chờ sổ,1680
Quận 12,83,,2,2,Đang chờ sổ,2250
Quận 8,73,,2,2,Đang chờ sổ,3300
Quận 9,66,,2,2,,2100
Quận 8,62,,2,2,,1600
Quận 7,54,Bắc,2,1,Đang chờ sổ,1790
Quận 2,71,,2,2,Đã có sổ,4180
Quận 7,150,Bắc,3,2,Đang chờ sổ,4100
Quận 9,47,Tây Nam,2,1,,1850
Huyện Hóc Môn,33,,1,1,,330
Quận 9,104,Tây Bắc,4,2,Giấy tờ khác,4300
Quận 8,91,,3,2,,2730
Quận 6,86,,2,2,Đã có sổ,3200
Quận 8,73,Đông Nam,2,2,Đang chờ sổ,2100
Quận Phú Nhuận,200,,3,2,,14000
Quận Tân Bình,73,,2,2,,4100
Quận Tân Bình,56,,1,1,,3250
Quận Phú Nhuận,109,,3,2,,6230
Quận 9,47,Tây,1,1,Đã có sổ,1860
Quận 7,46,,1,1,,2200
Quận Tân Bình,87,,2,2,Đã có sổ,2950
Quận 8,85,,3,2,,2560
Quận Tân Bình,40,,2,1,,1000
Quận Gò Vấp,65,Tây Bắc,2,2,Đang chờ sổ,2300
Quận 12,48,,2,2,Đang chờ sổ,1000
Quận Tân Bình,65,,2,,,1900
Huyện Nhà Bè,83,,3,2,Đang chờ sổ,3450
Quận 2,79.1,Đông,2,2,Đang chờ sổ,5750
Quận 7,69,,2,3,Đã có sổ,1420
Quận 2,75,Tây,2,2,Đã có sổ,1200
Huyện Bình Chánh,59,,2,2,Đang chờ sổ,2300
Quận 12,65,Tây Bắc,2,2,Đã có sổ,2550
Quận 8,73,Tây Bắc,2,2,Đang chờ sổ,2180
Quận 5,84,,2,2,Đã có sổ,1800
Quận 10,103,,3,2,Đang chờ sổ,7800
Quận Bình Tân,69,,2,2,Đã có sổ,1160
Quận 12,58,,2,2,,1550
Quận 11,66,Tây,1,1,Đã có sổ,2830
Quận 7,68,,2,2,Đã có sổ,2100
Quận Tân Phú,65,,2,2,Đang chờ sổ,3100
Quận Gò Vấp,70,,2,1,,1780
Quận 3,25.42,Đông Bắc,1,1,Giấy tờ khác,1100
Quận 8,60,,2,1,Đã có sổ,2060
Quận 12,928.6,,,,Đã có sổ,120000
Quận 2,50,,1,1,Giấy tờ khác,2730
Quận Tân Bình,47,Nam,1,1,Đã có sổ,1890
Quận 12,58,,2,2,Đang chờ sổ,1600
Quận 12,51,,2,1,Đang chờ sổ,1380
Huyện Bình Chánh,100,,2,2,Đã có sổ,2920
Quận Thủ Đức,90.5,Tây,2,2,Đã có sổ,2580
Huyện Nhà Bè,220,,4,4,Đã có sổ,4200
Huyện Nhà Bè,75.6,,2,2,Đã có sổ,2460
Quận 7,53,,1,1,,1880
Quận 7,53,,1,1,,1806
Quận 7,86,,3,2,,3550
Quận Tân Phú,49,,1,1,Đang chờ sổ,1400
Quận Tân Phú,40,,2,1,Đã có sổ,950
Quận 2,79,Tây,2,2,Đã có sổ,2250
Quận 7,125,Nam,3,2,Đã có sổ,5100
Quận 2,74,,2,2,,4600
Quận Tân Phú,104,Bắc,3,2,,4850
Quận Thủ Đức,50,,1,1,,1950
Quận Thủ Đức,53,,2,2,Đang chờ sổ,1550
Quận 8,79.25,Đông Bắc,2,2,,2900
Quận 9,70,,2,2,Đang chờ sổ,2400
Quận 7,95,,3,2,,3400
Quận 9,69,,2,2,,3000
Quận Tân Phú,112,Đông Nam,3,2,Đang chờ sổ,5500
Quận Thủ Đức,62,,2,1,,2390
Quận Tân Phú,69,Tây,2,2,Đang chờ sổ,2000
Quận 2,59,Đông Nam,2,2,Đang chờ sổ,1650
Quận 9,54,,2,2,Đang chờ sổ,3300
Quận 12,70,,2,2,,1800
Quận 10,120,,2,2,Đã có sổ,7090
Quận 9,68,Đông Bắc,2,2,Đang chờ sổ,2468
Quận 4,52,,1,1,Đã có sổ,1900
Quận 9,47,,1,1,Đã có sổ,1750.237951
Quận Bình Tân,60,Đông Nam,2,2,Đang chờ sổ,1950
Quận 6,90,,2,2,Đang chờ sổ,4000
Huyện Bình Chánh,46,,2,1,,1250
Quận 8,73,,2,2,,2300
Quận 7,120,Đông Bắc,3,2,Đang chờ sổ,2550
Quận 9,72,,2,2,Giấy tờ khác,2480
Quận Tân Phú,84,Tây,2,2,Đang chờ sổ,4050
Quận 4,34,,1,1,,1750
Quận Thủ Đức,84,Nam,2,2,Đã có sổ,2850
Quận 8,60,,2,2,,2100
Quận 8,78,,2,2,Đã có sổ,2100
Quận 4,127,,3,2,Đã có sổ,4000
Quận Thủ Đức,70,Đông Nam,2,2,Đang chờ sổ,1990
Quận Tân Phú,72,,2,2,Đã có sổ,2400
Quận 8,62,Đông Nam,2,2,Đang chờ sổ,1660
Quận Phú Nhuận,67,Nam,2,2,Đã có sổ,3150
Huyện Bình Chánh,55,Nam,2,2,Đang chờ sổ,1560
Quận 9,47.1,,2,1,Đã có sổ,1250
Quận Bình Tân,95,Đông Nam,2,2,,1800
Quận 12,50,,2,2,,1750
Quận 11,84,,2,2,Đã có sổ,4300
Quận 9,59,Nam,2,1,Đang chờ sổ,2020
Quận Thủ Đức,80,Tây Bắc,2,2,Đang chờ sổ,5000
Quận Tân Bình,31,,1,1,Đã có sổ,900
Quận 9,52,,2,1,Đã có sổ,1780
Huyện Bình Chánh,72,Bắc,2,2,Đang chờ sổ,2950
Quận 7,102,,3,2,Đang chờ sổ,5150
Quận Bình Thạnh,99,,3,2,Đã có sổ,3600
Quận Thủ Đức,73,,2,2,Đã có sổ,2500
Quận 7,70,,2,2,,3300
Quận Bình Thạnh,75,Tây,3,1,Đã có sổ,2650
Quận Thủ Đức,33,,1,1,,1250
Quận 10,69,,2,2,Đã có sổ,4450
Quận Phú Nhuận,36,,1,1,,1830
Quận 7,69,Đông Nam,2,2,Đang chờ sổ,2836
Quận Thủ Đức,57,,1,1,Đã có sổ,2200
Quận 8,92,,3,2,Đã có sổ,2890
Huyện Nhà Bè,67,Tây,2,2,Đang chờ sổ,1250
Quận 8,107,Tây,2,2,Đã có sổ,2700
Huyện Bình Chánh,46,Tây,1,1,Giấy tờ khác,550
Quận 12,68,,2,2,Đã có sổ,1680
Quận Gò Vấp,69,Đông Bắc,2,2,Đang chờ sổ,1500
Quận 7,80,,2,2,Đã có sổ,1350
Quận Tân Phú,58,Nam,2,2,Giấy tờ khác,2100
Quận 9,70,Đông Nam,2,2,Đã có sổ,2550
Quận Bình Tân,75,Tây,2,2,Đang chờ sổ,3950
Quận 2,64,,2,2,Đã có sổ,2900
Quận Bình Tân,121,Đông,4,3,Đang chờ sổ,4200
Quận Tân Phú,66,,2,1,Đang chờ sổ,2400
Quận 9,62.8,,2,2,Đang chờ sổ,2135
Quận 2,88,Đông Nam,3,2,Đã có sổ,3750
Huyện Nhà Bè,71,Bắc,2,2,Đang chờ sổ,3420
Quận Tân Phú,59,Đông,2,1,Đã có sổ,1770
Quận Tân Phú,58,,2,1,,1700
Quận 2,49,,1,1,Đang chờ sổ,5750
Quận 2,158.6,Đông Nam,2,3,Đang chờ sổ,12000
Quận 8,56,,2,2,Đã có sổ,1500
Quận Bình Tân,65,,2,1,,1650
Quận 9,30.81,Đông,1,1,Đang chờ sổ,1400
Quận 2,56.42,,2,2,Giấy tờ khác,2000
Huyện Nhà Bè,106,,3,2,,2400
Quận Bình Thạnh,70,,2,1,Đã có sổ,2600
Quận 9,45,Đông Nam,2,2,Đang chờ sổ,2000
Quận Tân Phú,104,,3,2,Đang chờ sổ,5120
Quận 9,75,,2,2,Đã có sổ,2890
Quận Bình Tân,68.5,,2,,,2500
Quận Tân Phú,55,,2,1,Giấy tờ khác,1990
Quận Thủ Đức,40,Đông Bắc,1,1,Đã có sổ,1300
Quận Thủ Đức,49,Đông Nam,2,2,Đã có sổ,1950
Quận 8,62.5,Nam,2,1,Đã có sổ,1300
Quận 10,86,Tây Bắc,2,2,Đang chờ sổ,6800
Quận 8,51,Tây Bắc,2,2,Giấy tờ khác,1450
Quận Thủ Đức,75,Đông,2,2,Giấy tờ khác,2000
Quận 8,62,Đông Nam,2,2,Đang chờ sổ,1850
Quận Gò Vấp,83.6,Bắc,2,2,Đã có sổ,3900
Quận 6,41,Tây,1,1,Đã có sổ,2600
Quận 8,115,,2,2,Đã có sổ,3450
Quận 8,150,Tây,3,2,Đã có sổ,4200
Quận 8,73,,2,2,Giấy tờ khác,2300
Quận 9,105,,4,2,,6100
Quận Thủ Đức,38,Bắc,1,1,Đã có sổ,1180
Quận Bình Thạnh,95,,3,3,Đang chờ sổ,3200
Quận Phú Nhuận,73,,2,2,Đã có sổ,4500
Quận Thủ Đức,55,Bắc,1,1,Đã có sổ,2200
Quận Phú Nhuận,24,,2,3,Đã có sổ,9000
